mal_id,title,type,episodes,members,genres_clean,source,air_year,air_season,airing_start_clean
36979,Tanuki to Kitsune,ONA,18.0,612,['Comedy'],Web manga,2018,winter,2018-02-08
37242,Hoshi to Tsubasa no Paradox,ONA,2.0,494,"['Action', 'Sci-Fi', 'Mecha']",Game,2018,winter,2018-02-06
37249,DC Super Heroes vs Taka no Tsume-dan Promotion Eizou,ONA,1.0,484,"['Comedy', 'Parody', 'Super Power']",Original,2018,winter,2018-02-01
38727,Een,ONA,1.0,469,['Dementia'],Original,2018,winter,2018-02-11
37243,Kataribe Jinkou Chinou ga Tsubuyaku Noroi no Yogen,ONA,1.0,426,"['Horror', 'Seinen', 'Thriller']",Manga,2018,winter,2018-02-01
37431,Donten ni Warau x Mameshiba,ONA,1.0,410,['Comedy'],Original,2018,winter,2018-03-06
37143,Alphard x Taka no Tsume,ONA,3.0,349,"['Cars', 'Parody']",Original,2018,winter,2018-01-18
36623,SNS Police,ONA,24.0,316,['Police'],Web manga,2018,winter,2018-03-23
36856,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (ONA),ONA,8.0,267,"['Sci-Fi', 'Adventure', 'Police', 'Mecha']",Other,2018,winter,2018-01-19
37468,Oi Pii-tan!!,ONA,1.0,261,['Josei'],Manga,2018,winter,2018-03-12
36973,Ekimemo!,ONA,3.0,259,['Game'],Game,2018,winter,2018-01-30
37664,Sukoyaka Oyako 21 x Taka no Tsume-dan,ONA,5.0,249,"['Slice of Life', 'Parody', 'Drama']",Original,2018,winter,2018-03-29
37279,Eyedrops Special Episode,ONA,2.0,232,['Space'],Original,2018,winter,2018-02-07
37877,Promedicus,ONA,4.0,220,['School'],Original,2018,winter,2018-01-25
37850,Elleair x Kamiusagi Rope,ONA,,196,"['Comedy', 'Slice of Life']",Original,2018,winter,2018-01-02
38058,Oi-san to 40 no Monogatari,ONA,41.0,190,['Slice of Life'],Original,2018,winter,2018-03-25
37409,Tabechatta tte Ii no ni na!,ONA,8.0,188,"['Slice of Life', 'Comedy']",Original,2018,winter,2018-03-18
37145,Morimori Shima no Mogu to Perol,ONA,1.0,178,['Kids'],Original,2018,winter,2018-01-18
37144,Nikuiyo! Galbi-kun: Kemuri ga Me ni Shimiru,ONA,5.0,175,['Comedy'],Original,2018,winter,2018-01-18
37241,Aware! Meisaku-kun: Human Academy Robot Kyoushitsu,ONA,2.0,141,"['Comedy', 'Parody', 'Kids']",Original,2018,winter,2018-01-31
37640,Kaishain vs. Credit Card Kachou: CreCar no Rule Shitteru kai?,ONA,4.0,131,['Comedy'],Original,2018,winter,2018-03-29
37165,Kuro Kishi to Shiro no Maou VR Sennyuu! Maoujou-hen,ONA,1.0,128,"['Action', 'Game', 'Fantasy']",Game,2018,winter,2018-01-25
38048,Oshiete♡Namie-sensei!,ONA,2.0,124,['School'],Original,2018,winter,2018-02-04
37554,Yousei Tin Tin,ONA,20.0,119,"['Slice of Life', 'Comedy', 'Fantasy']",Original,2018,winter,2018-03-26
42014,Kowasugimasu.,ONA,1.0,104,"['Comedy', 'Horror', 'Music']",Original,2018,winter,2018-03-19
43772,Hua Jianghu Zhi Xia Lan,ONA,40.0,100,"['Action', 'Adventure', 'Historical', 'Drama', 'Magic', 'Martial Arts', 'Fantasy']",Original,2018,winter,2018-01-25
38140,Zhu Zhu Xia: Fan Wai - Zhi Huanqiu Riji,ONA,26.0,97,"['Sci-Fi', 'Adventure', 'Super Power', 'Kids']",Original,2018,winter,2018-03-29
42761,Baolie Feiche 3: Shou Shen Heti,ONA,52.0,35,"['Action', 'Adventure', 'Cars']",Original,2018,winter,2018-03-11
36688,Shinmai Maou no Testament Departures,OVA,1.0,53727,"['Action', 'Demons', 'Ecchi', 'Fantasy', 'Harem', 'Romance']",Light novel,2018,winter,2018-03-27
36560,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA,OVA,1.0,27207,"['Comedy', 'Romance', 'Ecchi', 'School']",Web manga,2018,winter,2018-03-25
34513,Days: Touin Gakuen-sen!,OVA,3.0,18199,"['Sports', 'School', 'Shounen']",Manga,2018,winter,2018-03-15
36720,Youkoso! Sukebe Elf no Mori e,OVA,4.0,13845,"['Harem', 'Hentai', 'Supernatural', 'Fantasy']",Visual novel,2018,winter,2018-02-01
36737,Real Eroge Situation! The Animation,OVA,2.0,7397,['Hentai'],Visual novel,2018,winter,2018-01-25
37089,Cherry & Gal's↑↑,OVA,2.0,6448,['Hentai'],Manga,2018,winter,2018-02-08
36895,"Nee, ...Shiyo♥",OVA,2.0,5053,['Hentai'],Manga,2018,winter,2018-02-01
36849,Nariyuki→Papakatsu Girls!! The Animation,OVA,2.0,4438,['Hentai'],Visual novel,2018,winter,2018-02-22
36721,Do S na Seitokaichou-sama ga M Note ni Shihai Saremashita.,OVA,4.0,4263,"['Hentai', 'School']",Light novel,2018,winter,2018-01-25
37088,Enkou JK Bitch Gal: Ojisan to Namapako Seikatsu,OVA,2.0,4197,['Hentai'],Visual novel,2018,winter,2018-02-08
36956,Jewelry The Animation,OVA,1.0,4128,"['Hentai', 'Romance']",Manga,2018,winter,2018-01-04
36876,Furifure 2,OVA,4.0,3514,['Hentai'],Visual novel,2018,winter,2018-02-22
37127,Saimin☆Gakuen,OVA,4.0,3332,['Hentai'],Light novel,2018,winter,2018-03-29
37287,Tsuma Netori: Ryoujoku Rinne,OVA,1.0,2687,['Hentai'],Visual novel,2018,winter,2018-03-15
39046,Puchimas!: Petit iDOLM@STER (OVA),OVA,2.0,609,"['Music', 'Slice of Life', 'Comedy', 'Parody', 'Seinen']",4-koma manga,2018,winter,2018-03-25
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,1.0,218925,"['Drama', 'Fantasy']",Original,2018,winter,2018-02-23
35608,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,1.0,141766,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life']",Light novel,2018,winter,2018-01-05
34944,Bungou Stray Dogs: Dead Apple,Movie,1.0,116689,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']",Manga,2018,winter,2018-03-02
34439,Code Geass: Hangyaku no Lelouch II - Handou,Movie,1.0,48123,"['Action', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']",Original,2018,winter,2018-02-09
36702,Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Movie,1.0,39653,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Super Power']",Manga,2018,winter,2018-01-12
37967,"Chuunibyou demo Koi ga Shitai! Movie: Take On Me - Weekly Short Movie ""Kotatsu DE Photo Session""",Movie,3.0,8145,['Comedy'],-,2018,winter,2018-01-05
